Date,Duration,Label
1520953961,15,2018-03-13 17:12:56 +0200
1521005409,2,2018-03-14 07:30:11 +0200
1521091874,2,2018-03-15 07:31:16 +0200
1521438553,1,2018-03-19 07:49:14 +0200
1521520551,1,2018-03-20 06:35:52 +0200
1521709955,2,2018-03-22 11:12:37 +0200
1521783850,2,2018-03-23 07:44:12 +0200
1522040059,2,2018-03-26 07:54:21 +0300
1522124338,2,2018-03-27 07:19:00 +0300
1522211895,1,2018-03-28 07:38:16 +0300
1522398976,1,2018-03-30 11:36:17 +0300
1522643366,2,2018-04-02 07:29:28 +0300
1522730181,2,2018-04-03 07:36:23 +0300
1522814998,1,2018-04-04 07:09:59 +0300
1522902907,2,2018-04-05 07:35:09 +0300
1522984519,1,2018-04-06 06:15:20 +0300
1523333422,2,2018-04-10 07:10:24 +0300
1528692840,2,2018-06-11 07:54:02 +0300
1528862823,1,2018-06-13 07:07:04 +0300
1529036620,1,2018-06-15 07:23:41 +0300
1529208467,2,2018-06-17 07:07:49 +0300
1529296291,2,2018-06-18 07:31:33 +0300
1529381786,2,2018-06-19 07:16:28 +0300
1529467489,1,2018-06-20 07:04:50 +0300
1529555241,2,2018-06-21 07:27:23 +0300
1529556695,2,2018-06-21 07:51:37 +0300
1529641458,2,2018-06-22 07:24:20 +0300
1529899362,2,2018-06-25 07:02:44 +0300
1529986312,0,2018-06-26 07:11:52 +0300
1530159591,2,2018-06-28 07:19:53 +0300
1530247496,1,2018-06-29 07:44:57 +0300
1530506145,2,2018-07-02 07:35:47 +0300
1530591056,1,2018-07-03 07:10:57 +0300
1530679035,2,2018-07-04 07:37:17 +0300
1530852072,2,2018-07-06 07:41:14 +0300
1530951677,2,2018-07-07 11:21:19 +0300
1531009000,1,2018-07-08 03:16:41 +0300
1531110980,2,2018-07-09 07:36:22 +0300
1531197327,1,2018-07-10 07:35:28 +0300
1531370294,1,2018-07-12 07:38:15 +0300
1531455632,2,2018-07-13 07:20:34 +0300
1531714030,2,2018-07-16 07:07:12 +0300
1531972916,1,2018-07-19 07:01:57 +0300
1532321182,2,2018-07-23 07:46:24 +0300
1532404265,1,2018-07-24 06:51:06 +0300
1532492072,2,2018-07-25 07:14:34 +0300
1532578596,2,2018-07-26 07:16:38 +0300
1532665689,1,2018-07-27 07:28:10 +0300
1532932681,2,2018-07-30 09:38:03 +0300
1532955322,1,2018-07-30 15:55:23 +0300
1533010006,2,2018-07-31 07:06:48 +0300
1533046460,2,2018-07-31 17:14:22 +0300
1533096675,2,2018-08-01 07:11:17 +0300
1533181830,2,2018-08-02 06:50:32 +0300
1533462560,1,2018-08-05 12:49:21 +0300
1533529518,2,2018-08-06 07:25:20 +0300
1533615024,2,2018-08-07 07:10:26 +0300
1533701121,2,2018-08-08 07:05:23 +0300
1533729713,2910,2018-08-08 15:50:23 +0300
1533779576,2,2018-08-09 04:52:58 +0300
1533873695,2,2018-08-10 07:01:37 +0300
1533880562,2,2018-08-10 08:56:04 +0300
1534007672,2,2018-08-11 20:14:34 +0300
1534106706,2,2018-08-12 23:45:08 +0300
1534112779,2,2018-08-13 01:26:21 +0300
1534114202,2,2018-08-13 01:50:04 +0300
1534126223,2,2018-08-13 05:10:25 +0300
1534129354,1,2018-08-13 06:02:35 +0300
1534132878,2,2018-08-13 07:01:20 +0300
1534162922,2,2018-08-13 15:22:04 +0300
1534283338,1,2018-08-15 00:48:59 +0300
1534345224,2,2018-08-15 18:00:26 +0300
1534403994,2,2018-08-16 10:19:56 +0300
1534452634,1,2018-08-16 23:50:35 +0300
1534467413,1,2018-08-17 03:56:54 +0300
1534473076,1,2018-08-17 05:31:17 +0300
1534512845,1,2018-08-17 16:34:06 +0300
1534514189,1,2018-08-17 16:56:30 +0300
1534515655,2,2018-08-17 17:20:57 +0300
1534520055,1,2018-08-17 18:34:16 +0300
1534521521,2,2018-08-17 18:58:43 +0300
1534566087,2,2018-08-18 07:21:29 +0300
1534633825,2,2018-08-19 02:10:27 +0300
1534745477,1,2018-08-20 09:11:18 +0300
1534800420,1,2018-08-21 00:27:01 +0300
1534842341,2,2018-08-21 12:05:43 +0300
1534914032,1,2018-08-22 08:00:33 +0300
1534924176,2,2018-08-22 10:49:38 +0300
1534972839,2,2018-08-23 00:20:41 +0300
1534999355,1,2018-08-23 07:42:36 +0300
1535075120,1,2018-08-24 04:45:21 +0300
1535110463,2,2018-08-24 14:34:25 +0300
1535114129,2,2018-08-24 15:35:31 +0300
1535145768,2,2018-08-25 00:22:50 +0300
1535209682,2,2018-08-25 18:08:04 +0300
1535221899,2,2018-08-25 21:31:41 +0300
1535316121,2,2018-08-26 23:42:03 +0300
1535327681,2,2018-08-27 02:54:43 +0300
1535332249,2,2018-08-27 04:10:51 +0300
1535337004,2,2018-08-27 05:30:06 +0300
1535432820,2,2018-08-28 08:07:02 +0300
1535441110,2,2018-08-28 10:25:12 +0300
1535444937,2,2018-08-28 11:28:59 +0300
1535496721,1,2018-08-29 01:52:02 +0300
1535507441,1,2018-08-29 04:50:42 +0300
1535570986,2,2018-08-29 22:29:48 +0300
1535583577,1,2018-08-30 01:59:38 +0300
1535635454,2,2018-08-30 16:24:16 +0300
1535862847,2,2018-09-02 07:34:09 +0300
1535897048,2,2018-09-02 17:04:10 +0300
1535919371,2,2018-09-02 23:16:13 +0300
1535934257,1,2018-09-03 03:24:18 +0300
1536013867,2,2018-09-04 01:31:09 +0300
1536047900,1,2018-09-04 10:58:21 +0300
1536180314,2,2018-09-05 23:45:16 +0300
1536210136,2,2018-09-06 08:02:18 +0300
1536239360,1,2018-09-06 16:09:21 +0300
1536317812,1,2018-09-07 13:56:53 +0300
1536330030,2,2018-09-07 17:20:32 +0300
1536483782,2,2018-09-09 12:03:04 +0300
1536512575,2,2018-09-09 20:02:57 +0300
1536537155,2,2018-09-10 02:52:37 +0300
1536561708,2,2018-09-10 09:41:50 +0300
1536562828,1,2018-09-10 10:00:29 +0300
1536606866,2,2018-09-10 22:14:28 +0300
1536626606,1,2018-09-11 03:43:27 +0300
1536721515,1,2018-09-12 06:05:16 +0300
1536747305,2,2018-09-12 13:15:07 +0300
1536877611,2,2018-09-14 01:26:53 +0300
1536922025,2,2018-09-14 13:47:07 +0300
1537029425,1,2018-09-15 19:37:06 +0300
1537099003,2,2018-09-16 14:56:45 +0300
1537121908,0,2018-09-16 21:18:28 +0300
1537419911,2,2018-09-20 08:05:13 +0300
1537462625,2,2018-09-20 19:57:07 +0300
1537488877,2,2018-09-21 03:14:39 +0300
1537495027,2,2018-09-21 04:57:09 +0300
1537505524,2,2018-09-21 07:52:06 +0300
